Delta	N_peaks_nomet	Greedy_nomet	Random_nomet	N_peaks_ext	Greedy_ext	Random_ext
0.0	3	0.2400288671875022	0.21753912551749996	3	0.29963163875001225	0.2279102133168753
0.05	3	0.2400288671875022	0.2239086359437499	3	0.28163966004906277	0.2329811099945316
0.1	3	0.22077321504895406	0.22260464168406247	3	0.2520155625023332	0.22985109091062533
0.15	3	0.225988593079069	0.2201268252774999	3	0.26677335657448076	0.23371749047875032
0.2	2	0.06963433149692289	0.057935997870000075	2	0.0726100034380117	0.059346997818125045
0.25	2	0.07169697995851043	0.05822499785937506	2	0.07435495820504108	0.05872649784093755
0.3	2	0.07070898606597269	0.05902399783000005	2	0.07410446638104418	0.059346997818125045
0.35	2	0.066344145948764	0.05870099784187507	2	0.06564321163188755	0.058437497851562575
0.4	2	0.057177826387289986	0.05839499785312505	2	0.05482241049653247	0.05971249780468758
0.45	2	0.05865122966969766	0.05909199782750006	2	0.05554152108690827	0.05910899782687506
0.5	2	0.05188283025142684	0.05825899785812507	2	0.048156240070886806	0.05890499783437507
