Delta	N_peaks_nomet	Greedy_nomet	Random_nomet	N_peaks_ext	Greedy_ext	Random_ext
0.0	7	0.269071200405225	0.31117628198473296	9	0.31447173108795795	0.37093190049373426
0.05	6	0.2542300417716881	0.30683559456545967	5	0.22473886244158833	0.26166298828364515
0.1	3	0.17183596874762902	0.1997507155089268	2	0.06323826077276651	0.063476272098984
0.15	2	0.06417114692611835	0.05521812341440749	2	0.06369605636798874	0.0632610031136881
0.2	2	0.062426883982775475	0.054331224060442274	2	0.06222059290554713	0.06469300984196072
0.25	2	0.05942192595537359	0.05488409638499202	2	0.06217735178692993	0.0629895770017933
0.3	2	0.057782326677438434	0.05504535081298573	2	0.06124179998038279	0.06290534131189492
0.35	2	0.05992203652179609	0.054918650905276374	2	0.059521697515447086	0.06358858635218186
0.4	2	0.06075576655097715	0.05468828743671397	2	0.060868402249688876	0.06384129342187701
0.45	2	0.06381956845274706	0.054745878303854585	2	0.05504387926577182	0.06305509364949206
0.5	2	0.05783017215924836	0.05383594260303311	2	0.06097601674264421	0.06331716024028704
