Delta	N_peaks_nomet	Greedy_nomet	Random_nomet	N_peaks_ext	Greedy_ext	Random_ext
0.0	7	0.26907120040521454	0.309289652646921	9	0.3144717310878654	0.37633905649252686
0.0	7	0.2690712004052135	0.29473178057504085	9	0.31447173108786464	0.3840822695956352
0.0	7	0.26907120040521293	0.3166875881919447	9	0.31447173108786913	0.3569366063386118
0.0	7	0.26907120040521315	0.3151316182567155	9	0.3144717310878737	0.39419885295247903
0.0	7	0.2690712004052134	0.31065402216508836	9	0.3144717310878739	0.36977076669844416
0.0	7	0.26907120040521354	0.32229552743839013	9	0.3144717310878741	0.3618031031843976
0.0	7	0.26907120040521537	0.3174289579162733	9	0.3144717310878742	0.3696338926610864
0.0	7	0.26907120040521676	0.30805732146050707	9	0.31447173108787047	0.3637212278681991
0.0	7	0.2690712004052178	0.3037846716066364	9	0.3144717310878642	0.3683863594028671
0.0	7	0.26907120040521865	0.2925701128459729	9	0.3144717310878592	0.3581991839482951
0.0	7	0.26907120040521937	0.3160752172590853	9	0.3144717310878551	0.3720527381760294
0.0	7	0.2690712004052199	0.3306823346721973	9	0.31447173108785165	0.355300176742079
0.0	7	0.2690712004052146	0.29964712067298743	9	0.31447173108784876	0.3727530630744151
0.0	7	0.2690712004052097	0.29734353980489864	9	0.3144717310878463	0.3638523353556475
0.0	7	0.2690712004052055	0.29705695746524624	9	0.31447173108784415	0.37881162304034577
0.0	7	0.2690712004052018	0.3074331027243301	9	0.31447173108784227	0.36613496249103256
0.0	7	0.2690712004051986	0.3012719392496065	9	0.3144717310878383	0.35265488448356097
0.0	7	0.2690712004051957	0.3007140167891009	9	0.3144717310878348	0.3684696165005963
0.0	7	0.2690712004051931	0.30984864893918035	9	0.3144717310878317	0.3698429567477573
0.0	7	0.2690712004051908	0.31676657836572025	9	0.3144717310878289	0.3658839324479959
0.0	7	0.26907120040518867	0.32891248784202387	9	0.31447173108782633	0.383284170982066
0.0	7	0.2690712004051868	0.32090070961453554	9	0.31447173108782406	0.3831591432701718
0.0	7	0.269071200405185	0.3149441008799383	9	0.31447173108782195	0.37907107931261047
0.0	7	0.2690712004051834	0.30363888378989107	9	0.31447173108782	0.37320815561715304
0.0	7	0.2690712004051902	0.31251400125434586	9	0.31447173108781823	0.3624902359246846
